event_id,log_template,processed_template,summary,source_entity,source_entity_type,target_entity,target_entity_type,action,status,java_exception,entity,entity_type,entity_1,action_1,status_id,is_anomaly,is_anomaly_reason
302,MACHINE CHECK DCR read timeout (mc=<*> iar <*> lr <*>),MACHINE CHECK DCR read timeout (mc= iar  lr ),DCR read timeout,none,none,DCR,OBJECT,read,timeout,,DCR,OBJECT,doubleHummerAlignmentExceptions,read,302,True,"The log message indicates a machine check DCR read timeout, which suggests an abnormal execution process."
70,size of DDR we are caching...............<*> (<*>),size of DDR we are caching............... (),caching DDR size,none,none,DDR,OBJECT,caching,none,,DDR,OBJECT,DDR,caching,70,False,
76,disable flagging of DDR UE's as major internal error.<*>,disable flagging of DDR UE's as major internal error.,Disabling flagging of DDR UE's,flagging,OBJECT,DDR UE,OBJECT,disable,none,,DDR UE,OBJECT,DDR UE,disable,76,False,
89,DDR machine check register: <*> <*>,DDR machine check register:  ,DDR machine check register,none,none,DDR machine check register,OBJECT,check,none,,DDR machine check register,OBJECT,DDR machine check register,check,89,True,"The log message indicates a machine check register error, which is typically abnormal and requires attention."
81,uncorrectable error detected in EDRAM bank <*>...<*>,uncorrectable error detected in EDRAM bank ...,EDRAM bank uncorrectable error detected,none,none,EDRAM bank,OBJECT,detecting error,uncorrectable,,EDRAM bank,OBJECT,EDRAM bank,detecting error,81,True,"The log message indicates an uncorrectable error detected in the EDRAM bank, which is typically a sign of abnormal execution process."
80,correctable error detected in EDRAM bank <*>,correctable error detected in EDRAM bank ,Correctable error detected in EDRAM bank,EDRAM bank,OBJECT,none,none,detecting,correctable error,,EDRAM bank,OBJECT,EDRAM bank,detecting,80,True,"The log message indicates a correctable error detected in the EDRAM bank, which is considered abnormal in the execution process."
66,close EDRAM pages as soon as possible....<*>,close EDRAM pages as soon as possible....,Closing EDRAM pages quickly,none,none,EDRAM pages,OBJECT,closing,as soon as possible,,EDRAM pages,OBJECT,instructionAddressSpace,closing,66,False,
297,EndServiceAction is restarting the <*> cards in Midplane <*> as part of Service Action <*>,EndServiceAction is restarting the  cards in Midplane  as part of Service Action ,Restarting cards in Midplane,EndServiceAction,SYSTEM MODULE,cards in Midplane,OBJECT,restarting,part of Service Action,,EndServiceAction,SYSTEM MODULE,EndServiceAction,restarting,297,False,
114,EndServiceAction <*> performed upon <*> by <*>,EndServiceAction  performed upon  by ,EndServiceAction performed,EndServiceAction,SYSTEM MODULE,none,none,performed,none,,EndServiceAction,SYSTEM MODULE,EndServiceAction,performed,114,True,"The log message indicates an action performed on an unknown service or entity, which could be a sign of abnormal execution process."
113,EndServiceAction is restarting the NodeCards in midplane <*> as part of Service Action <*>,EndServiceAction is restarting the NodeCards in midplane  as part of Service Action ,EndServiceAction restarting NodeCards,EndServiceAction,SYSTEM MODULE,NodeCards,OBJECT,restarting,none,,EndServiceAction,SYSTEM MODULE,generated,exceedsThreshold,113,False,
174,EndServiceAction is restarting the LinkCards in midplane <*> as part of Service Action <*>,EndServiceAction is restarting the LinkCards in midplane  as part of Service Action ,Restarting LinkCards,EndServiceAction,SYSTEM MODULE,LinkCards,OBJECT,restarting,none,,EndServiceAction,SYSTEM MODULE,PLB,restarting,174,False,
291,Floating Point Registers:,Floating Point Registers:,Floating Point Registers,none,none,Floating Point Registers,OBJECT,none,none,,Floating Point Registers,OBJECT,PLB,none,291,False,
259,Floating Point Status and Control Register: <*>,Floating Point Status and Control Register: ,Floating Point Status and Control Register,none,none,Floating Point Status and Control Register,OBJECT,none,none,,Floating Point Status and Control Register,OBJECT,Floating Point Status and Control Register,none,259,False,
255,General Purpose Registers:,General Purpose Registers:,General Purpose Registers,none,none,General Purpose Registers,OBJECT,none,none,,General Purpose Registers,OBJECT,TLB,none,255,False,
147,BglIdoChip table has <*> IDOs with the same IP address <*>,BglIdoChip table has  IDOs with the same IP address ,Duplicate IP address in BglIdoChip table,BglIdoChip table,OBJECT,IDO,OBJECT,none,duplicate,,IDO,OBJECT,IDO,none,147,False,
145,Ido chip status changed: <*> ip=<*> v=<*> t=<*> status=<*> <*>,Ido chip status changed:  ip= v= t= status= ,Ido chip status change,Ido chip,OBJECT,none,none,status change,none,,Ido chip,OBJECT,Ido chip,status change,145,True,"The log message indicates a change in chip status, which could be a sign of abnormal execution process."
315,"dear <*> (<*> RAS KERNEL INFO Kernel detected <*> integer alignment exceptions (<*>) iar <*>, dear <*> (<*>) iar <*>, dear <*> (<*>) iar <*>, dear <*> (<*>) iar <*>, dear <*> (<*>) iar <*>, dear <*> (<*>) iar <*>, dear <*> (<*>) iar <*>, dear <*> (<*>) iar <*>, dear <*>","dear  ( RAS KERNEL INFO Kernel detected  integer alignment exceptions () iar , dear  () iar , dear  () iar , dear  () iar , dear  () iar , dear  () iar , dear  () iar , dear  () iar , dear ",Kernel detecting integer alignment exceptions,Kernel,SYSTEM MODULE,none,none,detecting,integer alignment exceptions,,Kernel,SYSTEM MODULE,Kernel,detecting,315,True,The log message indicates multiple integer alignment exceptions which are not common in normal execution processes.
314,"Kernel detected <*> integer alignment exceptions (<*>) iar <*>, dear <*> (<*>) iar <*>, dear <*> (<*>) iar <*>, dear <*> (<*>) iar <*>, dear <*> (<*>) iar <*>, dear <*> (<*>) iar <*>, dear <*> (<*>) iar <*>, dear <*> (<*>) iar <*>, dear <*>","Kernel detected  integer alignment exceptions () iar , dear  () iar , dear  () iar , dear  () iar , dear  () iar , dear  () iar , dear  () iar , dear  () iar , dear ",Kernel detecting integer alignment exceptions,Kernel,SYSTEM MODULE,none,none,detecting,exception,,Kernel,SYSTEM MODULE,Kernel,detecting,314,True,The log message indicates kernel detected integer alignment exceptions which is an abnormal execution process.
242,L1 DCACHE summary averages: #ofDirtyLines: <*> out of <*> #ofDirtyDblWord: <*> out of <*>,L1 DCACHE summary averages: #ofDirtyLines:  out of  #ofDirtyDblWord:  out of ,L1 DCACHE summary averages,L1 DCACHE,SYSTEM MODULE,none,none,summarize,none,,L1 DCACHE,SYSTEM MODULE,L1 DCACHE,summarize,242,False,
118,machine check interrupt (bit=<*>): L2 DCU read error,machine check interrupt (bit=): L2 DCU read error,L2 DCU read error,none,none,L2 DCU,OBJECT,reading,error,,L2 DCU,OBJECT,waitStateEnable,reading,118,True,"The log message indicates a machine check interrupt with an L2 DCU read error, which is typically an abnormal event signaling a hardware issue."
304,machine check interrupt (bit=<*>): L2 dcache unit read return parity error,machine check interrupt (bit=): L2 dcache unit read return parity error,L2 dcache unit read parity error,none,none,L2 dcache unit,OBJECT,reading,parity error,,L2 dcache unit,OBJECT,L2 dcache unit,reading,304,True,"The log message indicates a parity error in the L2 dcache unit, which is a sign of abnormal execution process."
67,size of scratchpad portion of L3.........<*> (<*>),size of scratchpad portion of L3......... (),L3 scratchpad size,L3,SYSTEM MODULE,scratchpad,OBJECT,none,none,,L3,SYSTEM MODULE,L3,none,67,False,
120,L3 correctable errors exceeds threshold (iar <*> lr <*>),L3 correctable errors exceeds threshold (iar  lr ),L3 correctable errors threshold exceeded,none,none,L3,OBJECT,exceeds threshold,correctable error,,L3,OBJECT,L3,exceeds threshold,120,True,"The log message indicates that the L3 correctable errors have exceeded the threshold, which is an abnormal occurrence in the execution process."
87,number of correctable errors detected in L3 EDRAMs........<*>,number of correctable errors detected in L3 EDRAMs........,Detecting correctable errors in L3 EDRAMs,L3 EDRAMs,OBJECT,none,none,detect,correctable errors,,L3 EDRAMs,OBJECT,L3 EDRAMs,detect,87,False,
88,number of lines with parity errors written to L3 EDRAMs...<*>,number of lines with parity errors written to L3 EDRAMs...,writing parity errors to L3 EDRAMs,none,none,L3 EDRAMs,OBJECT,writing,parity errors,,L3 EDRAMs,OBJECT,L3 EDRAMs,writing,88,True,"The log message indicates a potential hardware issue with parity errors in the L3 EDRAMs, which is not normal behavior."
85,number of correctable errors detected in L3 directories...<*>,number of correctable errors detected in L3 directories...,Detecting correctable errors in L3 directories,L3 directories,OBJECT,none,none,detecting,correctable,,L3 directories,OBJECT,L3 directories,detecting,85,True,"The log message indicates the detection of correctable errors in L3 directories, which is not a normal occurrence and suggests a potential issue with the system."
75,L3 ecc control register: <*>,L3 ecc control register: ,L3 ecc control register,none,none,L3 ecc control register,OBJECT,none,none,,L3 ecc control register,OBJECT,debug,none,75,True,The log message indicates a hardware control register that may suggest abnormal behavior in the execution process.
77,L3 ecc status register: <*>,L3 ecc status register: ,L3 ecc status register,none,none,L3 ecc status register,OBJECT,none,none,,L3 ecc status register,OBJECT,L3 ecc status register,none,77,True,"The log message indicates a low-level hardware error related to ECC status, which may signify abnormal execution."
60,L3 global control register: <*>,L3 global control register: ,L3 global control register,none,none,L3 global control register,OBJECT,none,none,,L3 global control register,OBJECT,L3 global control register,none,60,True,The log message indicates a low-level register access which could be indicative of abnormal behavior.
177,LinkCard is not fully functional,LinkCard is not fully functional,LinkCard not fully functional,none,none,LinkCard,OBJECT,none,not fully functional,,LinkCard,OBJECT,LinkCard,none,177,True,"The log message indicates that a certain functionality (LinkCard) is not fully functional, which suggests an abnormal execution process."
209,Bad cable going into LinkCard (<*>) Jtag (<*>) Port (<*>) - <*> bad wires,Bad cable going into LinkCard () Jtag () Port () -  bad wires,Bad cable causing connectivity issues,LinkCard,OBJECT,Jtag Port,OBJECT,bad cable,bad wires,,LinkCard,OBJECT,LinkCard,bad cable,209,True,"The log message indicates a bad cable connection, which can lead to abnormal execution processes."
167,MailboxMonitor::serviceMailboxes() lib_ido_error: <*> socket closed,MailboxMonitor::serviceMailboxes() lib_ido_error:  socket closed,MailboxMonitor service error,MailboxMonitor,SYSTEM MODULE,none,none,serviceMailboxes,error,,MailboxMonitor,SYSTEM MODULE,MailboxMonitor,serviceMailboxes,167,True,"The log message indicates a socket closed error, which is abnormal for a mailbox monitoring service"
166,Target=<*> Message=<*> JtagId = <*>,Target= Message= JtagId = ,Message with JtagId,none,none,Message,OBJECT,none,none,,Message,OBJECT,Message,none,166,True,The log message does not follow the expected format for a normal execution process.
214,Microloader Assertion,Microloader Assertion,Microloader assertion,Microloader,SYSTEM MODULE,none,none,assertion,none,,Microloader,SYSTEM MODULE,Microloader,assertion,214,True,"The log message indicates an assertion failure in the microloader, which is not a normal execution process."
293,"PrepareForService is being done on this Midplane (<*>, <*>, <*>) by <*>","PrepareForService is being done on this Midplane (, , ) by ",Preparing Midplane for service,none,none,Midplane,OBJECT,preparing for service,none,,Midplane,OBJECT,Midplane,preparing for service,293,False,
168,MidplaneSwitchController::sendTrain() port disconnected: <*>,MidplaneSwitchController::sendTrain() port disconnected: ,Sending train with port disconnect,MidplaneSwitchController,SYSTEM MODULE,port,OBJECT,sendTrain,disconnected,,MidplaneSwitchController,SYSTEM MODULE,MidplaneSwitchController,sendTrain,168,True,"The log message indicates a port disconnection, which is not a normal occurrence during the execution process."
216,"MidplaneSwitchController::receiveTrain() iap failed: <*>, status=<*>","MidplaneSwitchController::receiveTrain() iap failed: , status=",MidplaneSwitchController receiveTrain failed,MidplaneSwitchController,SYSTEM MODULE,none,none,receiveTrain,failed,,MidplaneSwitchController,SYSTEM MODULE,MidplaneSwitchController,receiveTrain,216,True,"The log message indicates a failure in receiving a train in the MidplaneSwitchController, which is an abnormal execution process."
187,MidplaneSwitchController::parityAlignment() pap failed: <*> status=<*>,MidplaneSwitchController::parityAlignment() pap failed:  status=,MidplaneSwitchController parity alignment failed,MidplaneSwitchController,SYSTEM MODULE,none,none,parity alignment,failed,,MidplaneSwitchController,SYSTEM MODULE,MidplaneSwitchController,parity alignment,187,True,"The log message indicates a failure in the parity alignment process, which is an abnormal execution process."
1,MidplaneSwitchController performing bit sparing on <*> bit <*>,MidplaneSwitchController performing bit sparing on  bit ,MidplaneSwitchController performing bit sparing,MidplaneSwitchController,SYSTEM MODULE,bit,OBJECT,performing bit sparing,none,,MidplaneSwitchController,SYSTEM MODULE,MidplaneSwitchController,performing bit sparing,1,False,
305,MidplaneSwitchController::clearPort() bll_clear_port failed: <*>,MidplaneSwitchController::clearPort() bll_clear_port failed: ,MidplaneSwitchController clearPort failed,MidplaneSwitchController,SYSTEM MODULE,port,OBJECT,clearing,failed,,MidplaneSwitchController,SYSTEM MODULE,MidplaneSwitchController,clearing,305,True,"The log message indicates a failure in clearing a port, which is not a normal execution process."
229,"NFS Mount failed on <*>, slept <*> seconds, retrying (<*>)","NFS Mount failed on , slept  seconds, retrying ()",NFS Mount failed with retries,none,none,NFS Mount,SYSTEM MODULE,retrying,failed,,NFS Mount,SYSTEM MODULE,GeneralPurposeRegisters,retrying,229,True,"The log message indicates a failed NFS mount, which is not a normal execution process."
200,"Node card VPD check: missing <*>, VPD ecid <*> in processor card slot <*>","Node card VPD check: missing , VPD ecid  in processor card slot ",Node card missing VPD ecid,Node card,OBJECT,processor card slot,OBJECT,VPD check,missing,,Node card,OBJECT,rts,VPD check,200,True,"The log message indicates a missing VPD (Vital Product Data) in the processor card slot, which is abnormal and may cause issues in the execution process."
235,Node card status: no ALERTs are active. Clock Mode is <*>. Clock Select is <*>. Phy JTAG Reset is <*>. ASIC JTAG Reset is <*>. Temperature Mask is <*>. No temperature error. Temperature Limit Error Latch is clear. PGOOD IS <*>. PGOOD ERROR LATCH IS <*>. MPGOOD IS <*>. MPGOOD ERROR LATCH IS <*>. The <*> volt rail is <*>. THE <*> VOLT RAIL IS <*>.,Node card status: no ALERTs are active. Clock Mode is . Clock Select is . Phy JTAG Reset is . ASIC JTAG Reset is . Temperature Mask is . No temperature error. Temperature Limit Error Latch is clear. PGOOD IS . PGOOD ERROR LATCH IS . MPGOOD IS . MPGOOD ERROR LATCH IS . The  volt rail is . THE  VOLT RAIL IS .,Node card status checking,Node card,OBJECT,none,none,checking,no alerts,,Node card,OBJECT,Node card,detectAndCorrect,235,False,
206,Node card status: <*> is (are) active. Clock Mode is <*>. Clock Select is <*>. Phy JTAG Reset is <*>. ASIC JTAG Reset is <*>. Temperature Mask is not active. No temperature error. Temperature Limit Error Latch is clear. PGOOD is <*>. PGOOD error latch is clear. MPGOOD is <*>. MPGOOD error latch is clear. The <*> volt rail is <*>. The <*> volt rail is <*>.,Node card status:  is (are) active. Clock Mode is . Clock Select is . Phy JTAG Reset is . ASIC JTAG Reset is . Temperature Mask is not active. No temperature error. Temperature Limit Error Latch is clear. PGOOD is . PGOOD error latch is clear. MPGOOD is . MPGOOD error latch is clear. The  volt rail is . The  volt rail is .,Node card is active,Node card,OBJECT,none,none,status,active,,Node card,OBJECT,rts,status,206,False,
164,Node card status: <*> is (are) active. Clock Mode is <*>. Clock Select is <*>. Phy JTAG Reset is <*>. ASIC JTAG Reset is <*>. TEMPERATURE MASK IS ACTIVE. No temperature error. Temperature Limit Error Latch is clear. PGOOD is <*>. PGOOD error latch is clear. MPGOOD is <*>. MPGOOD error latch is clear. The <*> volt rail is <*>. The <*> volt rail is <*>.,Node card status:  is (are) active. Clock Mode is . Clock Select is . Phy JTAG Reset is . ASIC JTAG Reset is . TEMPERATURE MASK IS ACTIVE. No temperature error. Temperature Limit Error Latch is clear. PGOOD is . PGOOD error latch is clear. MPGOOD is . MPGOOD error latch is clear. The  volt rail is . The  volt rail is .,Node card status is active,Node card,OBJECT,none,none,none,active,,Node card,OBJECT,Message,none,164,False,
163,NodeCard VPD chip is not accessible,NodeCard VPD chip is not accessible,NodeCard VPD chip not accessible,NodeCard,OBJECT,VPD chip,OBJECT,not accessible,none,,NodeCard,OBJECT,NodeCard,mapping,163,True,"The log message indicates that there is an issue with accessing the NodeCard VPD chip, which is abnormal behavior for a normal execution process."
162,NodeCard power module <*> is not accessible,NodeCard power module  is not accessible,NodeCard power module inaccessible,NodeCard,OBJECT,power module,SYSTEM MODULE,none,not accessible,,NodeCard,OBJECT,NodeCard,none,162,True,"The log message indicates a problem with accessing the power module of the NodeCard, which can lead to abnormal execution processes."
112,"PrepareForService shutting down NodeCard(<*>, <*>, <*>, <*>, <*>) as part of Service Action <*>","PrepareForService shutting down NodeCard(, , , , ) as part of Service Action ",PrepareForService shutting down NodeCard,PrepareForService,SYSTEM MODULE,NodeCard,OBJECT,shutting down,none,,NodeCard,OBJECT,NodeCard,shutting down,112,False,
161,NodeCard temperature sensor chip <*> is not accessible,NodeCard temperature sensor chip  is not accessible,NodeCard temperature sensor chip not accessible,NodeCard,OBJECT,temperature sensor chip,OBJECT,none,not accessible,,NodeCard,OBJECT,NodeCard,none,161,True,"The log message indicates that the temperature sensor chip is not accessible, which could lead to abnormal execution processes."
176,NodeCard is not fully functional,NodeCard is not fully functional,NodeCard not fully functional,NodeCard,OBJECT,none,none,none,not fully functional,,NodeCard,OBJECT,L3,none,176,True,"The log message indicates that a component, NodeCard, is not fully functional which suggests an abnormal execution process."
149,NodeCard VPD is corrupt,NodeCard VPD is corrupt,Corrupt NodeCard VPD,NodeCard,OBJECT,VPD,none,corrupt,none,,NodeCard,OBJECT,NodeCard,corrupt,149,True,"The log message indicates a corrupt NodeCard VPD, which is abnormal and may indicate a potential issue with the system."
301,MACHINE CHECK PLB write IRQ (mc=<*> iar <*> lr <*>),MACHINE CHECK PLB write IRQ (mc= iar  lr ),PLB write IRQ,none,none,PLB,OBJECT,writing,IRQ,,PLB,OBJECT,Initialization,writing,301,True,"The log message indicates a machine check PLB write IRQ, which is an abnormal event and may require further investigation."
183,Power deactivated: <*>,Power deactivated: ,Power deactivated,Power,SYSTEM MODULE,none,none,deactivated,none,,Power,SYSTEM MODULE,retagging,deactivated,183,True,"The log message indicates that power was deactivated, which is not a normal execution process."
294,Power Good signal deactivated: <*>. A service action may be required.,Power Good signal deactivated: . A service action may be required.,"Power Good signal deactivated, service action required",Power Good signal,OBJECT,none,none,deactivated,service action required,,Power Good signal,OBJECT,flushing,deactivated,294,True,"The Power Good signal is deactivated, indicating a potential issue with the hardware or power supply. A service action may be required to address this abnormality."
143,external input interrupt (unit=<*> bit=<*>): number of corrected SRAM errors has exceeded threshold,external input interrupt (unit= bit=): number of corrected SRAM errors has exceeded threshold,SRAM errors corrected,input,OBJECT,SRAM,OBJECT,correcting,threshold exceeded,,SRAM,OBJECT,SRAM,correcting,143,True,"The log message indicates that the number of corrected SRAM errors has exceeded the threshold, which is an indication of abnormal execution process."
316,<*> torus processor sram injection error(s) (dcr <*>) detected and corrected over <*> seconds, torus processor sram injection error(s) (dcr ) detected and corrected over  seconds,Torus processor detecting and correcting SRAM injection errors,torus processor,SYSTEM MODULE,SRAM,OBJECT,injection error(s) detected and corrected,none,,SRAM,OBJECT,SRAM,injection error(s) detected and corrected,316,True,"The log message indicates an error related to SRAM injection, which is not a normal execution process."
256,Special Purpose Registers:,Special Purpose Registers:,Special Purpose Registers,none,none,Special Purpose Registers,OBJECT,none,none,,Special Purpose Registers,OBJECT,Special Purpose Registers,none,256,False,
121,Starting SystemController,Starting SystemController,SystemController starting,SystemController,SYSTEM MODULE,none,none,starting,none,,SystemController,SYSTEM MODULE,SystemController,exceedsThreshold,121,False,
194,Torus non-recoverable error DCRs follow.,Torus non-recoverable error DCRs follow.,Torus non-recoverable error,Torus,SYSTEM MODULE,none,none,none,non-recoverable error,,Torus,SYSTEM MODULE,Torus,none,194,True,"The log message indicates a non-recoverable error, which is usually considered abnormal in an execution process."
173,machine check interrupt (bit=<*>): Torus/Tree/GI read error <*>,machine check interrupt (bit=): Torus/Tree/GI read error ,Torus/Tree/GI read error,none,none,Torus/Tree/GI,OBJECT,reading,error,,Torus/Tree/GI,OBJECT,Torus/Tree/GI,reading,173,True,"Machine check interrupt indicates a hardware error, which is abnormal in normal execution processes"
299,"<*> with VPD of <*>: IBM Part Number: <*>, Vendor: <*>, Vendor Serial Number: <*>, Assembly Revision: <*>, Code Revision: <*>, Manufacture Date: <*>, Manufacture Location: <*> is usable but not a supported version"," with VPD of : IBM Part Number: , Vendor: , Vendor Serial Number: , Assembly Revision: , Code Revision: , Manufacture Date: , Manufacture Location:  is usable but not a supported version",VPD usable but not supported,none,none,VPD,OBJECT,none,usable but not supported,,VPD,OBJECT,VPD,none,299,False,
108,address parity error..<*>,address parity error..,Address parity error,none,none,address,OBJECT,parity error,none,,address,OBJECT,address,parity error,108,True,"The log message indicates an address parity error, which is typically an abnormal execution process."
42,disable apu instruction broadcast........<*>,disable apu instruction broadcast........,disabling apu instruction broadcast,none,none,apu instruction broadcast,OBJECT,disable,none,,apu instruction broadcast,OBJECT,apu instruction broadcast,disable,42,True,"The log message indicates disabling an important instruction broadcast, which could potentially disrupt normal execution processes."
134,auxiliary processor.........................<*>,auxiliary processor.........................,auxiliary processor,auxiliary processor,SYSTEM MODULE,none,none,none,none,,auxiliary processor,SYSTEM MODULE,auxiliary processor,none,134,True,"The log message contains characters that are not typical of a normal execution process, indicating potential abnormalities."
123,Running as background command,Running as background command,Running as background command,none,none,background command,OBJECT,running,none,,background command,OBJECT,background command,running,123,False,
82,parity error in bank <*>.........................<*>,parity error in bank .........................,parity error in bank,bank,OBJECT,none,none,none,parity error,,bank,OBJECT,bank,none,82,True,"The log message indicates a parity error in a memory bank, which is a clear indication of abnormal execution process."
212,Lustre mount FAILED : <*> : block_id : location,Lustre mount FAILED :  : block_id : location,Lustre mount failed,Lustre,SYSTEM MODULE,blockid,OBJECT,mount,failed,,blockid,OBJECT,blockid,mount,212,True,"The log message indicates a failure in mounting Lustre, which is an abnormal execution process."
44,guaranteed instruction cache block touch.<*>,guaranteed instruction cache block touch.,guaranteed cache block touch,none,none,cache block,OBJECT,touch,guaranteed,,cache block,OBJECT,cache block,touch,44,False,
68,disable all access to cache directory....<*>,disable all access to cache directory....,Disabling access to cache directory,none,none,cache directory,OBJECT,disable access,none,,cache directory,OBJECT,cache directory,disable access,68,True,"The log message indicates a disabling of access to a cache directory, which is not a typical or expected execution process. This could be a security measure or an indication of an issue that needs further investigation."
115,Node card is not fully functional,Node card is not fully functional,Node card not fully functional,Node,OBJECT,card,OBJECT,none,not fully functional,,card,OBJECT,card,none,115,True,"The log message indicates that a node card is not fully functional, which is an abnormal execution process."
154,"error threshold, consider replacing the card","error threshold, consider replacing the card",Replace card for error threshold,none,none,card,OBJECT,replace,error threshold,,card,OBJECT,card,replace,154,True,The log message contains an error message indicating a potential issue with the card that may disrupt the normal execution process.
152,"rror threshold, consider replacing the card","rror threshold, consider replacing the card","Error threshold, replace card",none,none,card,OBJECT,replacing,error,,card,OBJECT,card,replacing,152,True,The log message contains an error message indicating a potential issue with the execution process.
111,chip select...........<*>,chip select...........,chip select,none,none,chip,OBJECT,select,none,,chip,OBJECT,chip,select,111,True,"The log message 'chip select...........<*>' is not a typical log message format for a normal execution process, indicating it may be abnormal."
220,"ciod: Error loading <*>: invalid or missing program image, Permission denied","ciod: Error loading : invalid or missing program image, Permission denied",ciod loading error,ciod,SYSTEM MODULE,none,none,loading,error,,ciod,SYSTEM MODULE,ciod,loading,220,True,"The log message indicates an error loading a program image due to invalid or missing image or permission denied, which is not a normal execution process."
215,ciod: Error reading message prefix after LOAD_MESSAGE on CioStream socket to <*>: Link has been severed,ciod: Error reading message prefix after LOAD_MESSAGE on CioStream socket to : Link has been severed,Error reading message prefix on CioStream socket,ciod,SYSTEM MODULE,CioStream socket,OBJECT,reading message prefix,error,,ciod,SYSTEM MODULE,ciod,reading message prefix,215,True,"The error message indicates a severed link on the CioStream socket, which is not a normal execution process."
221,ciod: generated <*> core files for program <*>,ciod: generated  core files for program ,ciod generating core files,ciod,SYSTEM MODULE,program,OBJECT,generating,none,,ciod,SYSTEM MODULE,ciod,generating,221,True,"The log message indicates the generation of core files, which is often a sign of a program crash or abnormal termination."
182,ciod: Missing or invalid fields on line <*> of node map file <*>,ciod: Missing or invalid fields on line  of node map file ,Invalid node map file fields,ciod,SYSTEM MODULE,node map file,OBJECT,none,invalid or missing fields,,ciod,SYSTEM MODULE,ciod,none,182,True,"The log message indicates missing or invalid fields in the node map file, which is not a normal execution process."
155,"ciod: Error loading <*>: program image too big, <*> > <*>","ciod: Error loading : program image too big,  > ",Error loading program image,ciod,SYSTEM MODULE,none,none,loading,error,,ciod,SYSTEM MODULE,ciod,loading,155,True,"The log message indicates an error loading a program image due to it being too big, which is not a normal execution process."
188,ciod: duplicate canonical-rank <*> to logical-rank <*> mapping at line <*> of node map file <*>,ciod: duplicate canonical-rank  to logical-rank  mapping at line  of node map file ,Duplicate mapping in node map file,ciod,SYSTEM MODULE,node map file,OBJECT,mapping,duplicate,,ciod,SYSTEM MODULE,ciod,mapping,188,True,"The log message indicates a duplicate mapping, which is not expected in a normal execution process."
