,event_id,log_template,processed_template,summary,source_entity,source_entity_type,target_entity,target_entity_type,action,status,java_exception,entity,entity_type,entity_1,action_1,status_id,is_anomaly,is_anomaly_reason
12,552,ACPI: PCI <*> <*> <*> <*>,ACPI: PCI    ,ACPI PCI,ACPI,SYSTEM MODULE,PCI,OBJECT,none,none,,ACPI,SYSTEM MODULE,Acpi,Installing,356,True,"The log message indicates a failure in the IB SM discovery process, which is an abnormal execution process."
13,721,ACPI: PCI Interrupt Link <*> (IRQs <*> <*> <*> <*> <*> <*> <*> <*>),ACPI: PCI Interrupt Link  (IRQs        ),ACPI PCI Interrupt Link,ACPI,SYSTEM MODULE,PCI Interrupt Link,OBJECT,none,none,,ACPI,SYSTEM MODULE,Acpi,none,354,True,"The log message indicates a failed node discovery test, which is considered abnormal."
14,620,ACPI: LAPIC_NMI (acpi_id[<*>] high edge lint[<*>]),ACPI: LAPIC_NMI (acpi_id[] high edge lint[]),ACPI LAPIC_NMI process,ACPI,SYSTEM MODULE,LAPICNMI,OBJECT,none,none,,ACPI,SYSTEM MODULE,Acpi,none,351,True,The log message contains kernel errors and file paths that indicate possible issues with the execution process.
15,810,ACPI: RSDP (v<*> DELL ) @ <*>,ACPI: RSDP (v DELL ) @ ,ACPI DELL RSDP,ACPI,SYSTEM MODULE,RSDP,OBJECT,none,none,,ACPI,SYSTEM MODULE,Acpi,none,360,True,The log message format does not match a typical execution process. It seems to be related to xinetd service which may indicate abnormal behavior.
16,545,"ACPI: PCI interrupt <*> -> GSI <*> (level, low) -> IRQ <*>","ACPI: PCI interrupt  -> GSI  (level, low) -> IRQ ",ACPI PCI interrupt,ACPI,SYSTEM MODULE,PCI interrupt,OBJECT,interrupt,none,,ACPI,SYSTEM MODULE,Acpi,Interrupt,357,True,The log message format does not match the expected format for a normal execution process
17,624,ACPI: Processor [CPU<*>] (supports C<*>),ACPI: Processor [CPU] (supports C),ACPI Processor supports C,ACPI,SYSTEM MODULE,Processor,OBJECT,supports,none,,ACPI,SYSTEM MODULE,Acpi,Installation,359,False,"This log message indicates the synchronization of the NTP daemon to a specific stratum, which is a normal process in time synchronization."
18,733,ACPI: Power Button (FF) [PWRF],ACPI: Power Button (FF) [PWRF],ACPI Power Button,ACPI,SYSTEM MODULE,Power Button,OBJECT,none,none,,ACPI,SYSTEM MODULE,Acpi,none,358,True,The log message contains unusual characters and patterns that are not typical of a normal execution process.
19,49,kernel: ACPI: <*> (v<*> DELL PE BKC <*> MSFT <*>) @ <*>,kernel: ACPI:  (v DELL PE BKC  MSFT ) @ ,ACPI @ DELL PE BKC MSFT,ACPI,SYSTEM MODULE,DELL PE BKC MSFT,OBJECT,none,none,,ACPI,SYSTEM MODULE,Acpi,none,107,True,The log message contains kernel errors which indicate abnormal execution process.
20,836,ACPI: Interpreter enabled,ACPI: Interpreter enabled,ACPI Interpreter enabled,ACPI,SYSTEM MODULE,Interpreter,OBJECT,enabled,none,,ACPI,SYSTEM MODULE,Acpi,Enabled,349,True,"The log message indicates a system control parameter being set, which could be a normal execution process depending on the values being set. However, without more context, it is difficult to determine if this is abnormal or not."
21,619,ACPI: LAPIC (acpi_id[<*>] lapic_id[<*>] <*>,ACPI: LAPIC (acpi_id[] lapic_id[] ,ACPI LAPIC,ACPI,SYSTEM MODULE,LAPIC,OBJECT,none,none,,ACPI,SYSTEM MODULE,Acpi,none,350,False,"The log message indicates a successful startup process, which is a normal execution process."
22,800,Using ACPI (MADT) for SMP configuration information,Using ACPI (MADT) for SMP configuration information,Using ACPI for SMP configuration,ACPI,SYSTEM MODULE,SMP configuration information,OBJECT,using,none,,ACPI,SYSTEM MODULE,Null,Using,432,True,"The log message indicates a request timed out, which is often a sign of abnormal execution process."
23,279,kernel: ACPI: RSDP (v<*> DELL ) @ <*>,kernel: ACPI: RSDP (v DELL ) @ ,ACPI RSDP,ACPI,SYSTEM MODULE,RSDP,OBJECT,none,none,,ACPI,SYSTEM MODULE,Acpi,none,117,True,"The log message indicates that the file-max limit has been reached, which is an abnormal condition."
24,28,"kernel: ACPI: PCI interrupt <*> -> GSI <*> (level, low) -> IRQ <*>","kernel: ACPI: PCI interrupt  -> GSI  (level, low) -> IRQ ",ACPI PCI interrupt IRQ,ACPI,SYSTEM MODULE,PCI interrupt,OBJECT,IRQ,none,,ACPI,SYSTEM MODULE,Acpi,Initialized,116,True,"The log message contains unusual port and node information, indicating a potential abnormal execution process."
25,96,"kernel: ACPI: PCI Interrupt Link <*> (IRQs <*> <*> <*> <*> <*> <*> <*> <*>) *<*>, disabled.","kernel: ACPI: PCI Interrupt Link  (IRQs        ) *, disabled.",ACPI disabling PCI Interrupt Link,ACPI,SYSTEM MODULE,PCI Interrupt Link,OBJECT,disabled,none,,ACPI,SYSTEM MODULE,Acpi,Initialized,114,True,The log message contains multiple instances of <*> which could indicate a potential issue or abnormality in the execution process.
26,97,kernel: ACPI: PCI Interrupt Link <*> (IRQs <*> <*> <*> <*> <*> <*> <*> <*>),kernel: ACPI: PCI Interrupt Link  (IRQs        ),ACPI PCI Interrupt Link,ACPI,SYSTEM MODULE,PCI Interrupt Link,OBJECT,IRQs,none,,ACPI,SYSTEM MODULE,Acpi,Configured,113,True,"Permission denied error while trying to open a file, indicating an abnormal execution process"
27,647,ACPI: IRQ<*> used by override.,ACPI: IRQ used by override.,ACPI override IRQ,ACPI,SYSTEM MODULE,IRQ,OBJECT,override,used,,ACPI,SYSTEM MODULE,Acpi,Override,348,False,This log message indicates a typical ACPI PCI interrupt process
28,60,kernel: ACPI: LAPIC_NMI (acpi_id[<*>] high edge lint[<*>]),kernel: ACPI: LAPIC_NMI (acpi_id[] high edge lint[]),ACPI LAPIC_NMI process,ACPI,SYSTEM MODULE,LAPICNMI,OBJECT,none,none,,ACPI,SYSTEM MODULE,Acpi,Installing,111,True,"The log message indicates an issue with the host name, which could lead to abnormal execution processes."
29,241,kernel: ACPI: Interpreter enabled,kernel: ACPI: Interpreter enabled,ACPI Interpreter enabled,ACPI,SYSTEM MODULE,Interpreter,OBJECT,enabled,none,,ACPI,SYSTEM MODULE,Acpi,Enabled,110,False,"The log message indicates reading an included configuration file, which is a normal execution process."
30,779,ACPI wakeup devices:,ACPI wakeup devices:,ACPI wakeup devices,ACPI,SYSTEM MODULE,wakeup devices,OBJECT,none,none,,ACPI,SYSTEM MODULE,Acpi,none,342,False,"The log message indicates a successful shutdown process, which is a normal execution process."
31,133,kernel: ACPI: PCI Interrupt Link <*> (IRQs <*> <*> <*> <*> <*> <*> <*> <*>) *<*>,kernel: ACPI: PCI Interrupt Link  (IRQs        ) *,ACPI PCI Interrupt Link IRQ,ACPI,SYSTEM MODULE,PCI Interrupt Link,OBJECT,IRQ,none,,ACPI,SYSTEM MODULE,Acpi,Irq,112,True,"The log message indicates a kernel panic, which is an abnormal execution process"
32,579,ACPI: <*> (v<*> DELL PE BKC <*> MSFT <*>) @ <*>,ACPI:  (v DELL PE BKC  MSFT ) @ ,ACPI @ DELL PE BKC MSFT,ACPI,SYSTEM MODULE,DELL PE BKC MSFT,OBJECT,none,none,,ACPI,SYSTEM MODULE,Acpi,none,344,False,This log message appears to be a standard xinetd process of removing a service.
33,794,ACPI: HPET id: <*> base: <*>,ACPI: HPET id:  base: ,ACPI HPET id base,ACPI,SYSTEM MODULE,HPET,OBJECT,none,none,,ACPI,SYSTEM MODULE,Acpi,none,345,True,"The log message indicates a failed shutdown process, which is abnormal"
34,694,ACPI: INT_SRC_OVR (bus <*> bus_irq <*> global_irq <*> <*> <*>,ACPI: INT_SRC_OVR (bus  bus_irq  global_irq   ,ACPI INT_SRC_OVR,ACPI,SYSTEM MODULE,INTSRCOVR,OBJECT,none,none,,ACPI,SYSTEM MODULE,Acpi,Installing,346,True,"The log message indicates a kernel execution process, which could be abnormal depending on the context and specific details provided."
35,645,ACPI: IOAPIC (id[<*>] address[<*>] gsi_base[<*>]),ACPI: IOAPIC (id[] address[] gsi_base[]),ACPI IOAPIC information,ACPI,SYSTEM MODULE,IOAPIC,OBJECT,none,none,,ACPI,SYSTEM MODULE,Acpi,none,347,False,"The log message appears to be a standard DHCP request via Ethernet, which is a common and expected process."
36,778,ACPI: (supports S<*> S<*> S<*>),ACPI: (supports S S S),ACPI supports S S S,ACPI,SYSTEM MODULE,none,none,supports,none,,ACPI,SYSTEM MODULE,Acpi,Installing,343,True,The log message format does not match any known normal execution processes.
37,668,Type: <*> ANSI SCSI revision: <*>,Type:  ANSI SCSI revision: ,ANSI SCSI revision type,none,none,ANSI SCSI revision,OBJECT,none,none,,ANSI SCSI revision,OBJECT,AnsiScsiRevision,none,430,True,The log message contains ACPI errors which indicate abnormal execution process
38,690,Using <*> APIC <*> <*>,Using  APIC  ,Using APIC,none,none,APIC,OBJECT,using,none,,APIC,OBJECT,Apic,Using,433,True,"The log message contains BIOS error codes, indicating a potential abnormal execution process."
39,1120,Setting APIC routing to flat,Setting APIC routing to flat,Setting APIC routing to flat,APIC,SYSTEM MODULE,routing,OBJECT,setting,none,,APIC,SYSTEM MODULE,Apic,Setting,1161,True,"The log message indicates that there are no free leases available, which could be a sign of abnormal execution process."
40,630,Processor #<*> <*>:<*> APIC version <*>,Processor # : APIC version ,Processor APIC version,Processor,SYSTEM MODULE,APIC,OBJECT,version,none,,APIC,OBJECT,Apic,Version,414,False,"The log message indicates that the ntpd service is listening on a specific network interface, which is a normal part of its execution process."
41,823,Detected <*>.<*> MHz APIC timer.,Detected . MHz APIC timer.,Detecting MHz APIC timer,none,none,APIC timer,OBJECT,detecting,none,,APIC timer,OBJECT,ApicTimer,Installing,383,False,This log message appears to be a common message related to sendmail and does not indicate any abnormal execution process.
42,743,input: AT Translated Set <*> keyboard on isa<*>/serio<*>,input: AT Translated Set  keyboard on isa/serio,input from keyboard,AT Translated Set keyboard,OBJECT,none,none,input,none,,AT Translated Set keyboard,OBJECT,AtTranslatedSetKeyboard,Installing,494,True,"The log message indicates an error related to opening a file for writing due to 'Too many open files', which is an abnormal execution process."
43,413,ib_port_agent.x[<*>]: [INFO]: Change AdminStatus on (<*>/<*>) - new value= <*>,ib_port_agent.x[]: [INFO]: Change AdminStatus on (/) - new value= ,ib_port_agent changing AdminStatus,ibportagent,SYSTEM MODULE,AdminStatus,OBJECT,Change,none,,AdminStatus,OBJECT,Adminstatus,Installing,1058,True,"The log message indicates a device driver installation process, which could potentially be abnormal if it is unexpected or unauthorized."
44,984,Administrator: Instrumentation Service EventID: <*> Server Administrator starting,Administrator: Instrumentation Service EventID:  Server Administrator starting,Administrator starting Server,Administrator,SYSTEM MODULE,Server,OBJECT,starting,none,,Administrator,SYSTEM MODULE,Administrator,Starting,672,True,The log message contains unusual characters and does not follow the typical format of a sendmail execution process.
45,406,"biosverify.bin[<*>]: BIOS update verification failed. Version expected: A<*>, Version found: A<*>","biosverify.bin[]: BIOS update verification failed. Version expected: A, Version found: A",BIOS update verification failed,biosverify.bin,SYSTEM MODULE,BIOS,OBJECT,update verification,failed,,BIOS,OBJECT,Bios,UpdateVerification,757,True,"The log message indicates that the mail sending process was deferred due to a connection refusal, which is an abnormal execution process."
46,821,BIOS-provided physical RAM map:,BIOS-provided physical RAM map:,BIOS providing physical RAM map,BIOS,SYSTEM MODULE,physical RAM,OBJECT,providing,none,,BIOS,SYSTEM MODULE,Bios,Providing,368,False,"This log message indicates a routine update of a job timestamp, which is a normal execution process."
47,464,"biosverify.bin[<*>]: BIOS update verification was successful. Version expected: A<*>, Version found: A<*>","biosverify.bin[]: BIOS update verification was successful. Version expected: A, Version found: A",BIOS update verification successful,biosverify.bin,SYSTEM MODULE,BIOS,OBJECT,update verification,successful,,BIOS,OBJECT,Bios,UpdateVerification,755,True,"The log message indicates an unknown lease request, which could potentially be a sign of abnormal behavior."
48,796,BIOS-e<*>: <*>cffc<*> - <*>cffcfc<*> (ACPI data),BIOS-e: cffc - cffcfc (ACPI data),BIOS-e ACPI data,BIOS-e,SYSTEM MODULE,ACPI data,OBJECT,none,none,,BIOS-e,SYSTEM MODULE,Bios-e,none,367,True,"The log message contains kernel errors related to ACPI, which could indicate abnormal execution processes."
49,567,BIOS-e<*>: <*> - <*> <*>,BIOS-e:  -  ,BIOS-e process,BIOS-e,SYSTEM MODULE,none,none,-,none,,BIOS-e,SYSTEM MODULE,Bios-e,-,366,True,The log message indicates a kernel CPU usage which may be abnormal if the values are significantly higher or lower than usual.
50,829,Bootdata ok (command line is <*> <*> <*> <*> <*> <*> <*>,Bootdata ok (command line is       ,Bootdata command line ok,Bootdata,SYSTEM MODULE,none,none,ok,none,,Bootdata,SYSTEM MODULE,Bootdata,Ok,369,True,"The log message indicates a failed memory lock operation, which is abnormal during normal execution processes."
51,615,CPU: Physical Processor ID: <*>,CPU: Physical Processor ID: ,CPU identifying Physical Processor,CPU,SYSTEM MODULE,Physical Processor,OBJECT,identifying,none,,CPU,SYSTEM MODULE,Cpu,Identifying,375,True,"The log message contains keywords related to dumping iobuf, which is often associated with abnormal execution processes."
52,611,"CPU: Trace cache: <*>K uops, L<*> D cache: <*>K","CPU: Trace cache: K uops, L D cache: K",CPU Trace cache,CPU,SYSTEM MODULE,Trace cache,OBJECT,none,none,,CPU,SYSTEM MODULE,Cpu,none,376,True,The log message indicates a failure in locking an input/output buffer during the execution process.
53,628,Initializing CPU#<*>,Initializing CPU#,Initializing CPU,none,none,CPU,OBJECT,initializing,none,,CPU,OBJECT,Cpu,Initializing,391,False,"The log message indicates a kernel operation requesting read and write permissions, which is a normal execution process."
54,219,kernel: CPU<*>: Intel(R) Xeon(TM) CPU <*>.<*>GHz stepping <*>,kernel: CPU: Intel(R) Xeon(TM) CPU .GHz stepping ,CPU stepping Intel Xeon,CPU,OBJECT,Intel(R) Xeon(TM) CPU,OBJECT,stepping,none,,CPU,OBJECT,Cpu,Stepping,129,True,"The log message indicates a failure in creating a map reduce job, which is abnormal behavior."
55,610,CPU: L<*> cache: <*>K,CPU: L cache: K,CPU L cache,CPU,SYSTEM MODULE,L cache,OBJECT,none,none,,CPU,SYSTEM MODULE,Cpu,none,374,True,"The log message indicates a failure in MOSAL_iobuf_register, which suggests an abnormal execution process."
56,789,Losing some ticks... checking if CPU frequency changed.,Losing some ticks... checking if CPU frequency changed.,CPU checking ticks,CPU,SYSTEM MODULE,ticks,OBJECT,checking,none,,CPU,SYSTEM MODULE,Cpu,Checking,684,False,"The log message indicates the registration of a protocol family, which is a common and expected process in the kernel."
57,93,"kernel: CPU: Trace cache: <*>K uops, L<*> D cache: <*>K","kernel: CPU: Trace cache: K uops, L D cache: K",CPU Trace cache,CPU,SYSTEM MODULE,Trace cache,OBJECT,none,none,,CPU,SYSTEM MODULE,Cpu,none,131,False,This log message is a typical DHCPDISCOVER message from a client trying to obtain an IP address from a DHCP server. It is a normal part of the DHCP process.
58,870,"kernel: CPU<*>: Initial APIC ID: <*>, Physical Processor ID: <*>","kernel: CPU: Initial APIC ID: , Physical Processor ID: ",CPU initializing APIC,CPU,OBJECT,APIC,OBJECT,initializing,none,,CPU,OBJECT,Cpu,Initializing,924,True,"The log message indicates an error related to not being able to open a file for writing, which is abnormal behavior for a normal execution process."
59,925,CPU: Hyper-Threading is disabled,CPU: Hyper-Threading is disabled,CPU Hyper-Threading disabled,CPU,SYSTEM MODULE,Hyper-Threading,OBJECT,disabled,none,,CPU,SYSTEM MODULE,Cpu,Disabled,903,False,"This log message seems to be related to the ACPI LAPIC NMI (Non-Maskable Interrupt) handling in the kernel, which is a normal process in the system."
60,817,checking TSC synchronization across <*> CPUs: passed.,checking TSC synchronization across  CPUs: passed.,Checking TSC synchronization across CPUs,none,none,CPUs,OBJECT,synchronization,passed,,CPUs,OBJECT,Cpus,Synchronization,442,False,"The log message indicates a kernel time sync process, which is a normal execution process."
61,831,Brought up <*> CPUs,Brought up  CPUs,Bringing up CPUs,none,none,CPUs,OBJECT,bring up,none,,CPUs,OBJECT,Cpus,BringUp,372,False,"This log message indicates a routine probing of an IDE interface, which is a normal execution process."
62,820,Capability LSM initialized as secondary,Capability LSM initialized as secondary,Capability LSM initialized as secondary,Capability LSM,SYSTEM MODULE,secondary,OBJECT,initialized,none,,Capability LSM,SYSTEM MODULE,CapabilityLsm,Initialized,378,False,"This log message indicates a DHCPREQUEST for a specific IP address from a client via a network interface, which is a normal execution process in a DHCP server."
63,824,Console: colour VGA+ <*><*>,Console: colour VGA+ ,Console color VGA,Console,SYSTEM MODULE,VGA,OBJECT,color,none,,Console,SYSTEM MODULE,Console,Color,380,False,This log message seems to be a normal kernel message related to setting latency timer for a PCI device.
64,396,<*> Copyright <*> Internet Systems Consortium., Copyright  Internet Systems Consortium.,Internet Systems Consortium Copyright,Internet Systems Consortium,SYSTEM MODULE,Copyright,OBJECT,none,none,,Copyright,OBJECT,Copyright,none,47,True,"The log message contains kernel and driver information, which may indicate a potential issue with the system's kernel or driver. Further investigation is recommended."
65,790,Initializing Cryptographic API,Initializing Cryptographic API,Initializing Cryptographic API,Cryptographic API,SYSTEM MODULE,none,none,initializing,none,,Cryptographic API,SYSTEM MODULE,CryptographicApi,Initializing,392,True,The log message format does not match the expected format for a normal execution process.
66,562,hal.hotplug[<*>]: DEVPATH is not set,hal.hotplug[]: DEVPATH is not set,hal.hotplug DEVPATH not set,hal.hotplug,SYSTEM MODULE,DEVPATH,OBJECT,none,not set,,DEVPATH,OBJECT,Devpath,Installation,493,True,The log message contains kernel errors which indicate abnormal execution process.
67,1162,EXT<*>-fs: sda<*>: <*> orphan inodes deleted,EXT-fs: sda:  orphan inodes deleted,Deleting orphan inodes,EXT-fs,SYSTEM MODULE,inode,OBJECT,deleting,orphan,,EXT-fs,SYSTEM MODULE,Ext-fs,Deleting,827,True,The log message contains kernel-related information which may indicate abnormal behavior.
68,868,EXT<*>-fs: recovery complete.,EXT-fs: recovery complete.,EXT-fs recovery complete,EXT-fs,SYSTEM MODULE,none,none,recovery complete,none,,EXT-fs,SYSTEM MODULE,Signal,RecoveryComplete,549,True,The log message contains kernel-related errors which indicate abnormal execution process.
69,1165,"EXT<*>-fs warning: mounting unchecked fs, running e<*>fsck is recommended","EXT-fs warning: mounting unchecked fs, running efsck is recommended",Mounting unchecked fs warning,EXT-fs,SYSTEM MODULE,fs,OBJECT,mounting,warning,,EXT-fs,SYSTEM MODULE,Ext-fs,Mounting,944,True,The log message contains unusual characters and does not follow a typical execution process pattern.
70,635,EXT<*>-fs: mounted filesystem with ordered data mode.,EXT-fs: mounted filesystem with ordered data mode.,EXT-fs mounted filesystem ordered data mode,EXT-fs,SYSTEM MODULE,filesystem,OBJECT,mounted,ordered data mode,,EXT-fs,SYSTEM MODULE,Ext-fs,Mounted,386,True,The log message includes kernel errors which indicate abnormal execution processes.
71,1139,ISO <*> Extensions: RRIP_<*>A,ISO  Extensions: RRIP_A,ISO Extensions RRIP_A,ISO,SYSTEM MODULE,Extensions,OBJECT,none,none,,Extensions,OBJECT,Extensions,none,901,False,"This log message indicates a new USB bus being registered, which is a normal execution process."
72,1138,ISO <*> Extensions: Microsoft Joliet Level <*>,ISO  Extensions: Microsoft Joliet Level ,ISO Extensions Microsoft Joliet Level,ISO,SYSTEM MODULE,Extensions,OBJECT,none,none,,Extensions,OBJECT,Extensions,Configuring,900,True,"The log message contains irregular kernel information and irq numbers, indicating a potential abnormal execution process."
73,782,TCP: Hash tables configured (established <*> bind <*>),TCP: Hash tables configured (established  bind ),TCP Hash tables configured,TCP,SYSTEM MODULE,Hash tables,OBJECT,configured,established,,Hash tables,OBJECT,HashTables,Configured,426,True,"The log message indicates a request timed out, which is often a sign of abnormal execution process."
74,71,kernel: <*> <*>:<*>:<*>d.<*>: <*> Host Controller,kernel:  ::d.:  Host Controller,Host Controller,none,none,Host Controller,OBJECT,none,none,,Host Controller,OBJECT,HostController,Configuring,203,False,"The log message indicates the kernel journal daemon starting, which is a normal process."
75,787,"Total HugeTLB memory allocated, <*>","Total HugeTLB memory allocated, ",Total HugeTLB memory allocated,none,none,HugeTLB memory,OBJECT,allocated,none,,HugeTLB memory,OBJECT,HugetlbMemory,Allocated,428,False,The log message does not indicate any abnormalities in the execution process.
76,773,"IA<*> emulation $Id: sys_ia<*>.c,v <*>.<*> <*>/<*>/<*> <*>:<*>:<*> ak Exp $","IA emulation $Id: sys_ia.c,v . // :: ak Exp $",IA emulation system module,IA emulation,SYSTEM MODULE,none,none,none,none,,IA emulation,SYSTEM MODULE,IaEmulation,none,388,False,"Log message indicates a kernel filesystem operation on sda with an internal journal, which is a common process in a normal execution."
77,591,Probing IDE interface ide<*>...,Probing IDE interface ide...,Probing IDE interface,Probing,SYSTEM MODULE,IDE interface,OBJECT,none,none,,IDE interface,OBJECT,IdeInterface,none,413,True,"The log message indicates an error related to sending a poll packet, which suggests a problem with the communication process"
78,644,"IOAPIC[<*>]: apic_id <*>, version <*>, address <*>, GSI <*>-<*>","IOAPIC[]: apic_id , version , address , GSI -",IOAPIC information,IOAPIC,SYSTEM MODULE,none,none,none,none,,IOAPIC,SYSTEM MODULE,Ioapic,none,389,False,"The log message indicates a filesystem being mounted with ordered data mode, which is a normal execution process."
79,160,<*> bindcache: failed init IPS: <*> (Out of memory), bindcache: failed init IPS:  (Out of memory),bindcache init IPS failed (Out of memory),bindcache,SYSTEM MODULE,IPS,OBJECT,init,failed (Out of memory),,IPS,OBJECT,Ips,Init,252,False,The log message indicates a clean file system check with the number of files and blocks checked.
80,776,Initializing IPsec netlink socket,Initializing IPsec netlink socket,Initializing IPsec netlink socket,none,none,IPsec netlink socket,OBJECT,initializing,none,,IPsec netlink socket,OBJECT,IpsecNetlinkSocket,Initializing,393,True,The log message indicates a timeout error in the RPC request which could be a sign of abnormal execution process.
81,737,IPv<*> over IPv<*> tunneling driver,IPv over IPv tunneling driver,IPv over IPv tunneling driver,none,none,IPv over IPv tunneling driver,OBJECT,none,none,,IPv over IPv tunneling driver,OBJECT,IpvOverIpvTunnelingDriver,Bringup,489,False,"The log message is related to program port state, which is a normal execution process."
82,985,Administrator: Instrumentation Service EventID: <*> Server Administrator startup complete,Administrator: Instrumentation Service EventID:  Server Administrator startup complete,Administrator startup complete,Administrator,SYSTEM MODULE,Instrumentation Service,OBJECT,startup complete,none,,Instrumentation Service,OBJECT,InstrumentationService,StartupComplete,673,False,"The log message indicates that snmpd accepted a file descriptor, which is a normal part of its execution process."
83,752,Copyright (c) <*>-<*> Intel Corporation.,Copyright (c) - Intel Corporation.,Intel Corporation copyright,Intel Corporation,SYSTEM MODULE,none,none,copyright,none,,Intel Corporation,SYSTEM MODULE,IntelCorporation,Copyright,381,False,"The log message indicates that the SNMP service accepted a new smux peer, which is a common and expected operation in SNMP management."
84,786,Intel E<*>/<*>/<*> detected.<<*>>pci_hotplug: PCI Hot Plug PCI Core version: <*>.<*>,Intel E// detected.<>pci_hotplug: PCI Hot Plug PCI Core version: .,Intel E// detected PCI Hot Plug,Intel E//,SYSTEM MODULE,pcihotplug,OBJECT,detected,none,,Intel E//,SYSTEM MODULE,IntelE//,Detected,395,True,"The log message indicates a file system check (fsck) process on device /dev/sda, which may indicate a potential issue with the file system that needs to be checked and repaired."
